DESCRIPCION ;CODIGO_BARRA;FABRICANTE;UNIDAD;PRECIO_NORMAL;SUCURSAL
ANTIMOHO 500GR;7.86101E+12;LA ESPAﾑOLA;UND;4.17;MILAGRO
AGUA 1.200 DASANI X6U;7.86102E+12;NESTLE;UND;0.55;SAMBORONDON
AGUA 3.78 LT DASANI X4U;64654654654;LA FAVORITA;UND;1.23;MILAGRO
AGUA 3.80 LT DASANI X4U;7.86102E+12;LA ESPAﾑOLA;UND;1.23;MILAGRO2
AGUA 6.05 LT DASANI X4U;7.86102E+12;LA ESPAﾑOLA;UND;1.55;MILAGRO
AGUA 600ML DASANI  X12U;7861024 x 16 cargad;LA ESPAﾑOLA;UND;0.36;MILAGRO
AGUA 600ML DASANI  X16U;7.86102E+12;LA ESPAﾑOLA;UND;0.39;MILAGRO
AGUA SPLENDOR 1.5LT;7.8621E+12;LA ESPAﾑOLA;UND;0.89;MILAGRO
AGUA SPLENDOR 1LT;7.8621E+12;LA ESPAﾑOLA;UND;0.72;MILAGRO
AGUA SPLENDOR 500ML;7.8621E+12;LA ESPAﾑOLA;UND;0.44;SAMBORONDON
AGUA SPLENDOR 5LT;7.8621E+12;LA ESPAﾑOLA;UND;1.73;MILAGRO
AGUA SPLENDOR 750ML;7.8621E+12;LA ESPAﾑOLA;UND;0.62;MILAGRO
AGUA SPLENDOR C/GAS 500ML;1.78621E+13;NESTLE;UND;0.56;MILAGRO
ALIﾃ前 CASERO 240GR MI SAZON  X36;7.8621E+12;LA ESPAﾑOLA;UND;1.15;MILAGRO
ALIﾃ前 CASERO 30GR MI SAZON  X12;7.8621E+12;LA ESPAﾑOLA;TIR;4.42;MILAGRO
ALIﾃ前 CRIOLLO 240GR MI SAZON  X36;7.8621E+12;LA ESPAﾑOLA;UND;0.98;MILAGRO
ALIﾃ前 CRIOLLO 30GR MI SAZON  X12;7.8621E+12;LA ESPAﾑOLA;TIR;3.29;MILAGRO2
ALIﾃ前 DEL MAR 240GR MI SAZON  X36;7.8621E+12;LA ESPAﾑOLA;UND;0.98;MILAGRO
ALIﾃ前 DEL MAR 30GR MI SAZON  X12;7.8621E+12;LA ESPAﾑOLA;TIR;3.29;MILAGRO
ALIﾃ前 HIERBAS FINAS 240GR MI SAZON  X36;7.8621E+12;LA ESPAﾑOLA;UND;0.98;MILAGRO2
